Dowey,Dawey,Dawie,Doway,Dowee,Dowie,,,,,,,,,,,,,,,,,,,,,,,,,,
Dowley,Dowly,dawley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downes,Downs,Downe,Down,Dowens,Doughyng,Douns,Downies,Dowons,,,,,,,,,,,,,,,,,,,,,,,
Downey,Downie,Downy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dowsett,Dowset,Dowest,Dowesyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dranker,Drounker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draver,Drover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drewell,Druall,Druell,Drowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryborn,Dryburn,Drybourn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryden,Driden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducker,Doucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duckett,Duckat,Duckatt,Ducket,Duckitt,Duckote,Duckytt,Duket,Dowckete,Dowckett,,,,,,,,,,,,,,,,,,,,,,
Dudding,Duddon,Dudden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudley,Dudly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duff,Dough,Duffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duffeny,Defany,Duffney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duffield,Duffeld,Duffelde,Dovefeild,Dufeild,Dufel,Duffeild,Duffel,Duffell,Duffhill,Duffill,Duffle,,,,,,,,,,,,,,,,,,,,
Duffin,Duffen,Duffing,Duffinge,Dufing,Dufferin,Doughyng,,,,,,,,,,,,,,,,,,,,,,,,,
Duffy,Doufie,Douohy,Duffay,Duffe,Duffee,Duffey,Duffie,Dufhay,,,,,,,,,,,,,,,,,,,,,,,
Dufton,Duffton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dugmore,Dagamour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunbar,Dumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duncannon,Dungannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee,Dundy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn,Dunne,Dun,Dune,Done,Donne,Doon,Doone,,,,,,,,,,,,,,,,,,,,,,,,
Dunning,Duning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunnock,Donnock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duns,Dunce,Doons,Dunss,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunsworth,Dunnworth,Dunsyth,Dunworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunwell,Dunnell,Dunwill,Dynall,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durham,Doram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durton,Durnton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
